,CourseId,CourseName,ClassSection,Theoretical,PracticalType,PracticalTypes,Gender,ClassGroup,Rest,timeClass,ExamTime,DateExam,ProfessorName,Grouping
0,91400,آزمايشگاه پايگاه داده  ,کارشناسي,  0,  1,تخصصي,مختلط, ,0,دوشـــنبه12:00 10:30,00:00,"
  /  /  
",نيك روان شلماني عليرضا, —— 
1,91460,آزمايشگاه پايگاه داده  ,کارشناسي,  0,  1,تخصصي,مختلط, ,0,يکشنـــبه16:00 14:30,00:00,"
  /  /  
",سليمي شهركي الياس, —— 
2,91462,آزمايشگاه پايگاه داده  ,کارشناسي,  0,  1,تخصصي,مختلط, ,0,يکشنـــبه19:00 17:30,00:00,"
  /  /  
",سليمي شهركي الياس, —— 
3,91501,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,  1,اصلي,مختلط, ,8,شنبـــــه11:15 09:45,00:00,"
  /  /  
",الياسي علي, —— 
4,91466,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,  1,اصلي,مختلط, ,0,يکشنـــبه15:30 14:00,00:00,"
  /  /  
",شميراني حميدرضالطفعلي, —— 
5,91468,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,  1,اصلي,مختلط, ,0,چهار شنبه17:15 15:45,00:00,"
  /  /  
",اسلامي سيد علي, —— 
6,91353,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,  1,اصلي,مختلط, ,0,شنبـــــه15:30 14:00,00:00,"
  /  /  
",اسلامي سيد علي, —— 
7,91355,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,  1,اصلي,مختلط, ,0,شنبـــــه19:00 17:30,00:00,"
  /  /  
",اسلامي سيد علي, —— 
8,91366,آزمايشگاه سيستم هاي عامل  ,کارشناسي,  0,  1,اصلي,مختلط, ,0,دوشـــنبه09:30 08:00,00:00,"
  /  /  
",حريفي ساسان, —— 
9,91397,آزمايشگاه سيستم هاي عامل  ,کارشناسي,  0,  1,اصلي,مختلط, ,0,دوشـــنبه12:30 11:00,00:00,"
  /  /  
",حريفي ساسان, —— 
10,91401,آزمايشگاه پايگاه داده  ,کارشناسي,  0,  1,تخصصي,مختلط, ,0,دوشـــنبه14:00 12:30,00:00,"
  /  /  
",نيك روان شلماني عليرضا, —— 
